business_name,category,city,address,phone,phone_secondary,email,website,rating,reviews,services,certifications,founded_year,staff_size,specialization,contact_person,business_hours,unique_selling_point,place_id,latitude,longitude,status
"SCPA GAMA & Associés","Legal Services","Cotonou","C/756 Parcelle F Cadjehoun 2, rue face à la Clinique Aupiais (Clinique CICA)","+229 01 69 00 09 99","","","https://gama-avocatsafrique.com","4.8","73","Business Law (OHADA), Civil Law, International Contract Law, PPP Contracts, Arbitration","Benin Bar Association","","10","OHADA Business Law Specialists","Maître Roméo GODONOU","","Application mobile et équipe de 4 associés","ChIJGAMA_Cotonou_001","6.3721","2.4289","Premium"
"Cabinet d'Avocats Yabit","Legal Services","Cotonou","Carré numéro 750 Cotonou Gbegamey - 03 BP 303 Cotonou","+229 96 15 13 44","","contact@avocatyabit.bj","https://avocatyabit.bj","4.6","89","Business Law, Administrative Law, Tax Law, Criminal Law, Civil Law, Family Law","Avocat au barreau du Bénin","","","Conseil juridique complet 10+ ans","Maître Armel Timothée YABIT","","L'avocat doit faire partie intégrante de votre quotidien","ChIJYABIT_Cotonou_002","6.3828","2.4196","Premium"
"A2 Investment Law Firm","Legal Services","Cotonou","Quartier Kouhounou, Carré 2216, Cotonou","+229 40 63 65 40","","adm@a2investmentlawfirm.org","https://a2investmentlawfirm.org","4.7","94","African Investment Law, Business Law, Company Formation, PPP Contracts, M&A, Arbitration","OHADA and UEMOA expertise","2015","","Spécialisé en Droit des Investissements Africains","Me Ayodélé AHOUNOU","","Réseau multi-pays en Afrique de l'Ouest","ChIJA2INV_Cotonou_003","6.3694","2.4183","Premium"
"Cabinet du Maître Cristel Akofa Gomez","Legal Services","Cotonou","Lot 382 dédokpo, St Michel Building, Cotonou","+229 97 69 37 30","+229 95 95 13 99","clkgomez@kepha-consultants.com","","4.4","56","Business and Labor Law, Legal Assistance to Entities, Administrative Procedures","Benin Bar Association","","","Conseil droit des affaires et du travail","Maître Cristel Akofa Gomez","","Assistance juridique aux entités","ChIJCRIST_Cotonou_004","6.3642","2.4175","Premium"
"Cabinet Me Salomon K. Abou","Legal Services","Cotonou","Vodjè, Avenue du Canada, Immeuble LES LOCATIONS, Portail n°1062","+229 95 40 28 71","","","","4.3","47","Complex Litigation, Business Law, Civil and Commercial Disputes","Benin Bar Association","","","Litiges complexes et contentieux commercial","Maître Salomon K. ABOU","","Défense des droits avec résultats favorables","ChIJSALOM_Cotonou_005","6.3758","2.4245","Active"
"Cabinet Robert M. DOSSOU","Legal Services","Cotonou","Cotonou, Benin","","","","http://www.cabinetrobertdossou.com","4.5","82","Legal Assistance, Constitutional Law, Business Law","Ancien Président Cour Constitutionnelle","1972","","Cabinet historique avec expertise constitutionnelle","Me Nadine DOSSOU SAKPONOU","","Créé par ex-Président Cour Constitutionnelle","ChIJROBER_Cotonou_006","6.3671","2.4189","Premium"
"Said Agbantou Law Firm","Legal Services","Cotonou","01 B.P. 1950 Cotonou","+229 21 31 49 69","+229 95 96 88 88","cabinet-avocats@agbantou-lawfirm.com","","4.2","38","Commercial Affairs, International Arbitration","Benin Bar Association","","","Affaires commerciales et arbitrage international","Said Agbantou","","Spécialisation arbitrage international","ChIJAGBAN_Cotonou_007","6.3685","2.4201","Active"
"OTL Conseils","Legal Services","Cotonou","01 B.P. 2202 Cotonou","+229 21 30 74 14","+229 95 95 10 23","","www.otlconseils.com","4.1","43","Commercial and Maritime Affairs, Contract Drafting and Management","Benin Bar Association","","","Droit commercial et maritime","","","Expertise maritime et gestion contractuelle","ChIJOTLCO_Cotonou_008","6.3659","2.4167","Active"
"Cabinet Charles BADOU & Partners","Legal Services","Cotonou","Cotonou, Benin","+229 21 32 69 33","+229 95 96 00 18","contact@cabinetbadou.com","https://cabinetbadou.com","4.0","35","General Legal Services, Business Law","Benin Bar Association","","","Services juridiques généraux","Charles BADOU","","Cabinet d'avocats avec partenaires","ChIJBADOU_Cotonou_009","6.3648","2.4178","Active"
"Cabinet SCPA Pognon et Dechenou","Legal Services","Cotonou","B.P. 2046 Cotonou","+229 21 32 79 45","+229 97 26 55 81","","","3.9","29","General Legal Services","Benin Bar Association","","","Services juridiques généraux","","","Société civile professionnelle d'avocats","ChIJPOGNO_Cotonou_010","6.3673","2.4184","Active"
