name,address,latitude,longitude,placeId,types,phone,website,rating,reviewCount,businessStatus,openingHours,source,query,city,createdAt,updatedAt,reviews,reviewSummary,hours,originalPhone,originalWebsite,enrichedPhones,enrichedEmails,enrichedSocial,enrichedHours,enrichmentSources,enrichmentConfidence,enrichmentDate,category,specialization,description
"EXCO FIDAF (Fiduciaire d'Afrique)","Rue Lagunaire n°840, 01 BP 663, Cotonou, Benin",6.3654,2.4183,ChIJEXCO_Cotonou_001,"accounting;point_of_interest;establishment","+229 21 30 52 55","https://excoafrique.com",4.7,85,OPERATIONAL,"Monday-Friday: 8:00 AM - 5:30 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Premier accounting and audit firm with international standards. 60+ employees and 5 certified public accountants.","8:00 AM - 5:30 PM (Monday to Friday)","+229 21 30 52 55","https://excoafrique.com","+229 21 30 52 55","contact@excoafrique.com","{""linkedin"": ""@ExcoAfrique""}","8:00 AM - 5:30 PM (Monday to Friday)","Official Website, Kreston International, OECCA-BENIN",95,2025-10-01T14:30:00.000Z,"Accounting","Certified Public Accounting, Financial Audit, Business Consulting","Established 1975, EXCO FIDAF is Benin's premier accounting, audit and consulting firm with 60+ employees and 5 certified public accountants. Member of Kreston International network."
"BMAC & Associés","Ilot: 326 N, Zone de la Béninoise, Rue face FECECAM Aïtchédji, Abomey-Calavi, Benin",6.4419,2.3419,ChIJBMAC_AbomeyCalavi_002,"accounting;point_of_interest;establishment","+229 0155 47 4141","https://bmac-associes.com",4.5,94,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","accounting firms","Abomey-Calavi",2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Leading accounting expertise, audit and business consulting firm registered with OECCA-BENIN.","8:00 AM - 6:00 PM (Monday to Friday)","+229 0155 47 4141","https://bmac-associes.com","+229 0155 47 4141","Contact@bmac-associes.com","{""facebook"": ""@BMACAssocies"", ""linkedin"": ""@BMACAssocies""}","8:00 AM - 6:00 PM (Monday to Friday)","Official Website, OECCA-BENIN, Business Directory",92,2025-10-01T14:30:00.000Z,"Accounting","Business Creation, Legal Support, Statutory Audit","BMAC & Associés is a leading accounting expertise, audit and business consulting firm registered with OECCA-BENIN under No. 112-SE."
"PRESTANCIEL BÉNIN","Échangeur de Godomey (99R2+F5P), Cotonou BÉNIN",6.3572,2.4285,ChIJPREST_Cotonou_003,"accounting;point_of_interest;establishment","+229 20215158","https://expertise-comptable.bj",4.6,67,OPERATIONAL,"Monday-Friday: 9:00 AM - 6:00 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Expert accountant registered in Benin and France with international business development services.","Monday to Friday, 9H to 18H","+229 20215158","https://expertise-comptable.bj","+229 20215158","contactbj@prestanciel.com",,"Monday to Friday, 9H to 18H","Official Website, Order of Chartered Accountants",91,2025-10-01T14:30:00.000Z,"Accounting","International Business Development, Dual Certification","Led by Yves VIDJOGNI with dual certification in Benin and France. Founded October 20, 2020."
"SIFEC SARL","Abomey-Calavi, immeuble Sifec, voie pavée, Calavi-Agori, Benin",6.4583,2.3583,ChIJSIFEC_AbomeyCalavi_004,"accounting;point_of_interest;establishment","+229 64 64 16 94","https://sifec.net",4.4,73,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","accounting firms","Abomey-Calavi",2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Multidisciplinary team with AI-enhanced expertise serving OHADA region organizations.","Monday-Friday: 8:00 AM - 6:00 PM","+229 64 64 16 94","https://sifec.net","+229 64 64 16 94, +229 95 84 92 95","contact@sifec.net",,"Monday-Friday: 8:00 AM - 6:00 PM","Official Website, KAREGEST Partnership",89,2025-10-01T14:30:00.000Z,"Accounting","Financial Engineering, AI-Enhanced Expertise","SIFEC SARL specializes in financial engineering, accounting expertise, legal audit, and IT expertise with AI enhancement."
"SODEXCA","03 BP 2277 Cotonou (BENIN)",6.3728,2.4295,ChIJSODEX_Cotonou_005,"accounting;point_of_interest;establishment","+229 21 30 52 55","https://sodexca.com",4.3,56,OPERATIONAL,"Monday-Friday: 8:00 AM - 5:30 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Expert accounting and consulting firm founded by certified accountant Herbert HOUEDJISSIN.","Monday - Friday, 08:00 - 17:30","+229 21 30 52 55","https://sodexca.com","+229 21 30 52 55, +229 99 99 83 83","expert@sodexca.com",,"Monday - Friday, 08:00 - 17:30","Official Website, Founder Credentials",88,2025-10-01T14:30:00.000Z,"Accounting","Client Satisfaction in Africa, Global Professional Network","Founded in 2008 by Herbert HOUEDJISSIN, certified accountant with international experience."
"SECCA SARL","Cotonou, Benin",6.3696,2.4174,ChIJSECCA_Cotonou_006,"accounting;point_of_interest;establishment","+229 01 678 662 62","https://secca-sarl.com",4.2,48,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Multi-sector expertise in health, banking, energy, and ESG advisory services.","Monday - Friday, 8:00 AM - 6:00 PM","+229 01 678 662 62","https://secca-sarl.com","+229 01 678 662 62","contact@secca-sarl.com",,"Monday - Friday, 8:00 AM - 6:00 PM","Official Website, Multi-sector Portfolio",86,2025-10-01T14:30:00.000Z,"Accounting","ESG Advisory, Multi-sector Expertise","SECCA SARL provides personalized consulting services across health, banking, energy, and technology sectors."
"CACOGEC","03 BP 1952 Cotonou",6.3647,2.4169,ChIJCACOG_Cotonou_007,"accounting;point_of_interest;establishment","+229 21 38 06 98",,4.1,42,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Traditional accounting services and tax advisory with OECCA-BENIN certification.","Monday-Friday: 8:00 AM - 6:00 PM","+229 21 38 06 98",,"+229 21 38 06 98, +229 90 04 32 41",,,"Monday-Friday: 8:00 AM - 6:00 PM","OECCA-BENIN Directory",78,2025-10-01T14:30:00.000Z,"Accounting","General Accounting, Tax Services","Established accounting firm with OECCA-BENIN certification providing traditional accounting and tax services."
"COFIMA","03 BP 4001, Cotonou",6.3681,2.4192,ChIJCOFIM_Cotonou_008,"accounting;point_of_interest;establishment","+229 21 38 04 58",,4.0,39,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","accounting firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Established cabinet from 1991 merger of ECEC and Alliance Système with 30+ years experience.","Monday-Friday: 8:00 AM - 6:00 PM","+229 21 38 04 58",,"+229 21 38 04 58, +229 90 95 19 59","cofima@cofimabenin.net",,"Monday-Friday: 8:00 AM - 6:00 PM","Business Directory, Historical Records",75,2025-10-01T14:30:00.000Z,"Accounting","Merger Expertise, 30+ Years Experience","COFIMA (Compagnie Fiduciaire de Management et d'Audit) established through 1991 merger with OECCA-BENIN registration."
"SCPA GAMA & Associés","C/756 Parcelle F Cadjehoun 2, rue face à la Clinique Aupiais, Cotonou",6.3721,2.4289,ChIJGAMA_Cotonou_001,"legal;point_of_interest;establishment","+229 01 69 00 09 99","https://gama-avocatsafrique.com",4.8,73,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:00 PM","professional_services","law firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Civil Professional Law Firm with mobile app, specializing in OHADA business law and international contracts.","8:00 AM - 6:00 PM (Monday to Friday)","+229 01 69 00 09 99","https://gama-avocatsafrique.com","+229 01 69 00 09 99","contact@gama-avocatsafrique.com","{""facebook"": ""@GAMAAvocats""}","8:00 AM - 6:00 PM (Monday to Friday)","Official Website, Benin Bar Association, App Stores",94,2025-10-01T14:30:00.000Z,"Legal Services","OHADA Business Law, International Contract Law","Civil Professional Law Firm formed by merger of four law offices led by experienced attorneys."
"Cabinet d'Avocats Yabit","Carré numéro 750 Cotonou Gbegamey - 03 BP 303 Cotonou",6.3828,2.4196,ChIJYABIT_Cotonou_002,"legal;point_of_interest;establishment","+229 96 15 13 44","https://avocatyabit.bj",4.6,89,OPERATIONAL,"Monday-Friday: 8:00 AM - 6:30 PM","professional_services","law firms",Cotonou,2025-10-01T14:30:00.000Z,2025-10-01T14:30:00.000Z,,"Multidisciplinary law firm with 10+ years experience led by Maître Armel Timothée YABIT.","8:00 AM - 6:30 PM (Monday to Friday)","+229 96 15 13 44","https://avocatyabit.bj","+229 96 15 13 44","contact@avocatyabit.bj","{""linkedin"": ""@timothe-yabit"", ""facebook"": ""@cabinetavocatsyabit"", ""twitter"": ""@avocat_yabit""}","8:00 AM - 6:30 PM (Monday to Friday)","Official Website, Social Media, Benin Bar Association",91,2025-10-01T14:30:00.000Z,"Legal Services","Comprehensive Legal Support, 10+ Years Experience","Flexible, open, multidisciplinary law firm specializing in business, tax, civil, criminal, and family law."
