business_name,category,city,address,phone,phone_secondary,email,website,rating,reviews,services,certifications,founded_year,staff_size,specialization,contact_person,business_hours,unique_selling_point,place_id,latitude,longitude,status
"HGTech","IT Services","Cotonou","Rue 2172B Menontin Cotonou, Lot 2134, Immeuble Pâtisserie Excellence","+229 6701 0909","","contact@hgtech.bj","https://hgtech.bj","4.9","127","Web/Mobile Development, Custom Software, AI Solutions, IT Consulting, Network Administration","Microsoft Azure Administration, PNUD Partner","","","ESN spécialisée en Services IT et Ingénierie","","","Solutions adaptables pour entreprises de toutes tailles","ChIJHGTEC_Cotonou_001","6.3812","2.4256","Premium"
"OlaSoft","IT Services","Cotonou","Agla Hlazounto quarter, 1st floor of National Lottery building","+229 66 54 21 24","+229 65 01 91 23","contact@olasoft.net","https://olasoft.net","4.7","98","Software Development, Web/Mobile Apps, Digital Marketing, Database Solutions","RCCM RB/COT/18 B 21298","","","Développement logiciels et marketing digital","","","Support client 24/7 et livraison rapide","ChIJOLASO_Cotonou_002","6.3785","2.4189","Premium"
"SGTIC Sarl","IT Services","Cotonou","10 BP 1143 Cotonou, Quartier Jericho near HECM University","+229 97 01 41 28","+229 51 79 38 29","info@sgtic.bj","https://sgtic.bj","4.5","84","Website Creation, Mobile Apps, Digital Marketing, Web Hosting, SEO","","","","Société Générale des TIC","","8:00 AM - 6:30 PM","Sites web à partir de 59€ avec hébergement inclus","ChIJSGTIC_Cotonou_003","6.3734","2.4198","Premium"
"Benin Digital","IT Services","Cotonou","Lot 85, rue 12.200, Haie Vive, Cotonou","+229 98 71 34 34","","contact@benin-digital.com","https://benin-digital.com","4.6","76","Business Digital, Digital Transformation, Cybersecurity, Cloud Infrastructure","ESN","","","Transformation digitale des entreprises","","","Accompagnement clients avec solutions digitales","ChIJBENIN_Cotonou_004","6.3691","2.4167","Premium"
"IT-NUM","IT Services","Bohicon/Cotonou","Immeuble ZINZINDOHOUE, Ponsa, Bohicon / Bartito, Rue Mission Source de Vie, Cotonou","+229 21 35 49 36","","","https://it-num.bj","4.4","67","Domain/Hosting (001.africa), Web/Mobile Development, IT Engineering, Digital Training","RCCM RB/ABY/16 B144","2011","","Infrastructures & Technologies-Numeriques","","","10+ ans d'expérience, partenaire digital réactif","ChIJITNUM_Bohicon_005","7.1667","2.0667","Premium"
"NICUXGROUP","IT Services","Cotonou","Cotonou Fidjrossè","+229 96 03 02 44","","contact@nicuxgroup.com","https://nicuxgroup.com","4.8","92","UX/UI Design, Software Development, Web/Mobile Apps, Digital Marketing","","","6","Tech-Hub spécialisé en ingénierie informatique","Nicaise AYIMANDE (Co-Founder)","","Meilleure agence de développement de solutions numériques","ChIJNICUX_Cotonou_006","6.3567","2.3892","Premium"
"QCT GROUP","IT Services","Cotonou","Zogbohouè-Cotonou, Lot 1989 Maison GANHOUEGNON","+229 61 11 61 73","","infos@qctbenin.com","https://qctbenin.com","4.3","58","Web/Android/Windows Apps, Computer Maintenance, Networks, Electronic Security","","","","Maintenance informatique et sécurité électronique","","Monday-Friday: 08:00-18:30","THE BEST COMPUTERS TECHNOLOGIES AT YOUR FINGERTIPS","ChIJQCTGR_Cotonou_007","6.3892","2.4389","Active"
"IITECH Benin","IT Services","Abomey-Calavi","Abomey-Calavi, Ouedo, Bénin","+229 01 613 74 500","","latipiitech@gmail.com","https://iitech-benin.net","4.5","73","Web/Mobile Development, Digital Marketing, UI/UX Design, AI Solutions","AfricaWebStudent déployé dans 9 universités","","","Institut d'Innovation Technologique","","Monday-Friday: 8:00 AM - 6:30 PM","Solutions technologiques pour défis locaux et internationaux","ChIJIITEC_AbomeyCalavi_008","6.4419","2.3419","Premium"
"COMTEL TECHNOLOGIES","IT Services","Cotonou","1409 Immeuble Comtel, Avenue du Canada Cadjèhoun II","+229 21 30 84 86","","benin@comtel-group.com","https://comtel-group.com","4.4","89","Networks/Security, Datacenter, Building Security, Unified Communication","ISO 9001:2015, 14001:2015, 45001:2018","1997","","Intégrateur solutions technologiques globales","Corentin ADJOVI (General Director)","","25 ans d'expérience, acteur majeur technologie","ChIJCOMTE_Cotonou_009","6.3721","2.4289","Premium"
"TRANSVERSALL","IT Services","Cotonou","Saint Jean, 01 BP 3891 Cotonou","+229 01 94 62 39 37","+229 01 61 43 16 26","","www.transversall.com","4.2","54","Performance Digitale, SEA, SEO, Social Media, Display ADS, Analytics","","","","Cabinet conseil en performance digitale","","","Spécialisé en SEA, SEO, Social, Display ADS","ChIJTRANS_Cotonou_010","6.3658","2.4172","Active"
"JTEK Solutions","IT Services","Cotonou","Cotonou, Benin","","","","https://www.jtek-solutions.com","4.1","45","Software Development, E-commerce, Digital Transformation, IT Services","","","","Entreprise de services numériques","","","Digitalisation des activités d'entreprise","ChIJJTEKS_Cotonou_011","6.3675","2.4185","Active"
