Name,Address,Phone,Email,Website,Category,Sub_Category,City,Rating,Description,Services,Price_Range,Opening_Hours,GPS_Coordinates,Image_URL,Social_Media,Languages,Payment_Methods,Established_Year,Special_Features
"Bijouterie Royale Cotonou","Avenue Jean-Paul II, Cotonou","+229 21 31 45 67","contact@bijouterieroyale.bj","www.bijouterieroyale.bj","Jewelry","High-End Jewelry","cotonou",4.8,"Premier jewelry store offering luxury watches, diamonds, and custom pieces","Custom jewelry design, watch repair, diamond certification, gold trading","Premium","Mon-Sat: 9:00-19:00, Sun: 10:00-15:00","6.3703,2.3912","https://images.unsplash.com/photo-1515562141207-7a88fb7ce338","Facebook: @bijouterieroyalecotonou","French, English, Fon","Cash, Credit Cards, Mobile Money",2008,"Certified diamonds, Swiss watches, Custom design studio"
"Goldsmith Heritage Benin","Rue des Ambassades, Cotonou","+229 21 30 78 90","info@goldsmithheritage.bj","www.goldsmithheritage.bj","Jewelry","Traditional Goldsmith","cotonou",4.7,"Traditional goldsmith specializing in African-inspired luxury jewelry","Custom gold jewelry, traditional designs, precious stones setting","High-End","Mon-Fri: 8:30-18:30, Sat: 9:00-17:00","6.3662,2.4183","https://images.unsplash.com/photo-1506630448388-4e683c67ddb0","Instagram: @goldsmithheritage","French, English, Yoruba","Cash, Bank Transfer, Credit Cards",1995,"Heritage designs, Master craftsman, Export services"
"Diamant Prestige","Ganhi, Cotonou","+229 21 32 56 78","sales@diamantprestige.bj","www.diamantprestige.bj","Jewelry","Diamond Specialist","cotonou",4.9,"Exclusive diamond jewelry boutique with international certifications","Diamond jewelry, engagement rings, luxury watches, jewelry insurance","Ultra-Premium","Tue-Sat: 10:00-18:00","6.3591,2.4308","https://images.unsplash.com/photo-1605100804763-247f67b3557e","LinkedIn: diamant-prestige-benin","French, English","Credit Cards, Bank Transfer, Cryptocurrency",2015,"GIA certified diamonds, Rolex authorized dealer, Private showroom"
"Elegance Africaine Jewels","Fidjrossè, Cotonou","+229 21 33 89 12","contact@eleganceafricaine.bj","www.eleganceafricaine.bj","Jewelry","African Luxury","cotonou",4.6,"Contemporary African luxury jewelry combining tradition and modernity","Contemporary designs, cultural jewelry, corporate gifts, exhibitions","Premium","Mon-Sat: 9:30-18:30","6.3445,2.3876","https://images.unsplash.com/photo-1611591437281-460bfbe1220a","Facebook: @eleganceafricainejewels","French, English, Fon, Yoruba","Cash, Mobile Money, Credit Cards",2012,"African heritage designs, International exhibitions, Celebrity clientele"
"Luxor Jewelry Palace","Marina, Cotonou","+229 21 31 67 45","info@luxorpalace.bj","www.luxorpalace.bj","Jewelry","Luxury Retail","cotonou",4.8,"Multi-brand luxury jewelry palace with international collections","Multi-brand retail, jewelry authentication, investment consulting","Ultra-Premium","Mon-Sat: 9:00-19:30, Sun: 11:00-16:00","6.3528,2.4267","https://images.unsplash.com/photo-1573408301185-9146fe634ad0","Instagram: @luxorjewelrypalace","French, English, Arabic","Credit Cards, Bank Transfer, Mobile Money",2018,"International brands, Investment pieces, VIP services"
"Atelier des Pierres Précieuses","Akpakpa, Cotonou","+229 21 34 78 23","atelier@pierresprecieuses.bj","www.pierresprecieuses.bj","Jewelry","Artisan Workshop","cotonou",4.7,"Artisan workshop specializing in precious stones and custom creations","Custom jewelry creation, stone cutting, jewelry repair, appraisals","High-End","Mon-Fri: 8:00-17:30, Sat: 9:00-15:00","6.3289,2.4456","https://images.unsplash.com/photo-1617038220319-276d3cfab638","Website portfolio, Facebook: @atelierpierres","French, English","Cash, Bank Transfer",2003,"Master stone cutter, Custom creations, Rare stones"
"Prestige Gold Center","Cadjehoun, Cotonou","+229 21 30 91 34","center@prestigegold.bj","www.prestigegold.bj","Jewelry","Gold Trading","cotonou",4.5,"Professional gold trading center with jewelry retail services","Gold trading, jewelry retail, precious metals investment","Premium","Mon-Sat: 8:30-18:00","6.3712,2.3654","https://images.unsplash.com/photo-1551698618-1dfe5d97d256","LinkedIn: prestige-gold-center","French, English","Cash, Bank Transfer, Credit Cards",2010,"Gold trading expertise, Investment advisory, Certified scales"
"Royal Gems Boutique","Plateau, Cotonou","+229 21 32 45 89","boutique@royalgems.bj","www.royalgems.bj","Jewelry","Gemstone Specialist","cotonou",4.8,"Exclusive gemstone boutique with rare and precious stones","Rare gemstones, custom settings, gemological consultation","Ultra-Premium","Tue-Sat: 10:30-18:30","6.3667,2.4289","https://images.unsplash.com/photo-1506755855567-92ff770e8d00","Instagram: @royalgemsboutique","French, English","Credit Cards, Bank Transfer",2017,"Rare gemstones, Gemological expertise, Certificate of authenticity"
"Spa Royale Wellness","Boulevard de la Marina, Cotonou","+229 21 31 78 90","booking@sparoyale.bj","www.sparoyale.bj","Spa & Wellness","Luxury Spa","cotonou",4.9,"Premier luxury spa offering world-class wellness treatments","Full-service spa, massage therapy, facial treatments, wellness packages","Premium","Daily: 9:00-21:00","6.3556,2.4278","https://images.unsplash.com/photo-1540555700478-4be289fbecef","Instagram: @sparoyalewellness","French, English","Credit Cards, Mobile Money, Cash",2016,"5-star luxury, International therapists, Organic products"
"Zenith Wellness Center","Ganhi, Cotonou","+229 21 33 67 45","info@zenithwellness.bj","www.zenithwellness.bj","Spa & Wellness","Wellness Center","cotonou",4.7,"Comprehensive wellness center with spa and fitness facilities","Spa treatments, fitness center, yoga classes, nutrition counseling","High-End","Mon-Sun: 6:00-22:00","6.3634,2.4198","https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b","Facebook: @zenithwellnesscenter","French, English, Portuguese","Credit Cards, Mobile Money",2019,"24/7 fitness, Medical spa, Nutrition experts"
